-5	-5	-10
-5	-4.96667	-10
-5	-4.93333	-10
-5	-4.9	-10
-5	-4.86667	-10
-5	-4.83333	-10
-5	-4.8	-10
-5	-4.76667	-10
-5	-4.73333	-10
-5	-4.7	-10
-5	-4.66667	-10
-5	-4.63333	-10
-5	-4.6	-10
-5	-4.56667	-10
-5	-4.53333	-10
-5	-4.5	-10
-5	-4.46667	-10
-5	-4.43333	-10
-5	-4.4	-10
-5	-4.36667	-10
-5	-4.33333	-10
-5	-4.3	-10
-5	-4.26667	-10
-5	-4.23333	-10
-5	-4.2	-10
-5	-4.16667	-10
-5	-4.13333	-10
-5	-4.1	-10
-5	-4.06667	-10
-5	-4.03333	-10
-5	-4	-10
-5	-3.96667	-10
-5	-3.93333	-10
-5	-3.9	-10
-5	-3.86667	-10
-5	-3.83333	-10
-5	-3.8	-10
-5	-3.76667	-10
-5	-3.73333	-10
-5	-3.7	-10
-5	-3.66667	-10
-5	-3.63333	-10
-5	-3.6	-10
-5	-3.56667	-10
-5	-3.53333	-10
-5	-3.5	-10
-5	-3.46667	-10
-5	-3.43333	-10
-5	-3.4	-10
-5	-3.36667	-10
-5	-3.33333	-10
-5	-3.3	-10
-5	-3.26667	-10
-5	-3.23333	-10
-5	-3.2	-10
-5	-3.16667	-10
-5	-3.13333	-10
-5	-3.1	-10
-5	-3.06667	-10
-5	-3.03333	-10
-5	-3	-10
-5	-2.96667	-9.92153
-5	-2.93333	-9.84564
-5	-2.9	-9.76944
-5	-2.86667	-9.69192
-5	-2.83333	-9.61525
-5	-2.8	-9.53839
-5	-2.76667	-9.46
-5	-2.73333	-9.3819
-5	-2.7	-9.30385
-5	-2.66667	-9.22627
-5	-2.63333	-9.14985
-5	-2.6	-9.07454
-5	-2.56667	-8.99929
-5	-2.53333	-8.92292
-5	-2.5	-8.84657
-5	-2.46667	-8.76978
-5	-2.43333	-8.69293
-5	-2.4	-8.61693
-5	-2.36667	-8.53998
-5	-2.33333	-8.46287
-5	-2.3	-8.38748
-5	-2.26667	-8.3133
-5	-2.23333	-8.24011
-5	-2.2	-8.16696
-5	-2.16667	-8.09303
-5	-2.13333	-8.01965
-5	-2.1	-7.94616
-5	-2.06667	-7.87356
-5	-2.03333	-7.80094
-5	-2	-7.72876
-5	-1.96667	-7.65725
-5	-1.93333	-7.58651
-5	-1.9	-7.51621
-5	-1.86667	-7.44603
-5	-1.83333	-7.37788
-5	-1.8	-7.30979
-5	-1.76667	-7.24145
-5	-1.73333	-7.1726
-5	-1.7	-7.10398
-5	-1.66667	-7.03693
-5	-1.63333	-6.9716
-5	-1.6	-6.90567
-5	-1.56667	-6.8395
-5	-1.53333	-6.77523
-5	-1.5	-6.71172
-5	-1.46667	-6.64873
-5	-1.43333	-6.58631
-5	-1.4	-6.52446
-5	-1.36667	-6.46324
-5	-1.33333	-6.40362
-5	-1.3	-6.34479
-5	-1.26667	-6.28648
-5	-1.23333	-6.22923
-5	-1.2	-6.1727
-5	-1.16667	-6.11716
-5	-1.13333	-6.06323
-5	-1.1	-6.00971
-5	-1.06667	-5.95724
-5	-1.03333	-5.90676
-5	-1	-5.85682
-5	-0.966667	-5.80817
-5	-0.933333	-5.76078
-5	-0.9	-5.71458
-5	-0.866667	-5.66993
-5	-0.833333	-5.627
-5	-0.8	-5.58517
-5	-0.766667	-5.54427
-5	-0.733333	-5.5049
-5	-0.7	-5.4667
-5	-0.666667	-5.43009
-5	-0.633333	-5.39533
-5	-0.6	-5.36176
-5	-0.566667	-5.32974
-5	-0.533333	-5.29955
-5	-0.5	-5.27108
-5	-0.466667	-5.24486
-5	-0.433333	-5.22005
-5	-0.4	-5.19717
-5	-0.366667	-5.17607
-5	-0.333333	-5.15636
-5	-0.3	-5.13853
-5	-0.266667	-5.12262
-5	-0.233333	-5.10857
-5	-0.2	-5.09633
-5	-0.166667	-5.0862
-5	-0.133333	-5.07777
-5	-0.1	-5.07132
-5	-0.0666667	-5.06675
-5	-0.0333333	-5.06373
-5	0	-5.06229
-5	0.0333333	-5.06268
-5	0.0666667	-5.06522
-5	0.1	-5.07023
-5	0.133333	-5.07739
-5	0.166667	-5.08597
-5	0.2	-5.09639
-5	0.233333	-5.10908
-5	0.266667	-5.12349
-5	0.3	-5.13935
-5	0.333333	-5.15661
-5	0.366667	-5.17585
-5	0.4	-5.19684
-5	0.433333	-5.21895
-5	0.466667	-5.24316
-5	0.5	-5.27002
-5	0.533333	-5.29928
-5	0.566667	-5.32959
-5	0.6	-5.36107
-5	0.633333	-5.39438
-5	0.666667	-5.42899
-5	0.7	-5.46535
-5	0.733333	-5.5039
-5	0.766667	-5.54346
-5	0.8	-5.58368
-5	0.833333	-5.62568
-5	0.866667	-5.66919
-5	0.9	-5.7132
-5	0.933333	-5.75911
-5	0.966667	-5.80649
-5	1	-5.85446
-5	1.03333	-5.90407
-5	1.06667	-5.95532
-5	1.1	-6.00788
-5	1.13333	-6.06168
-5	1.16667	-6.11601
-5	1.2	-6.17138
-5	1.23333	-6.22732
-5	1.26667	-6.28377
-5	1.3	-6.3419
-5	1.33333	-6.40082
-5	1.36667	-6.46038
-5	1.4	-6.521
-5	1.43333	-6.58261
-5	1.46667	-6.64514
-5	1.5	-6.70856
-5	1.53333	-6.77273
-5	1.56667	-6.83748
-5	1.6	-6.90315
-5	1.63333	-6.9692
-5	1.66667	-7.03523
-5	1.7	-7.10242
-5	1.73333	-7.16998
-5	1.76667	-7.23779
-5	1.8	-7.30629
-5	1.83333	-7.3752
-5	1.86667	-7.4449
-5	1.9	-7.51475
